actrnumber,study_title,interventions,intervention_codes,eligibity_inclusive,eligibity_exclusive
ACTRN12616000498493,Comparative assessment of the absorption of a generic formulation of imatinib tablet against the innovator imatinib tablet conducted under fed conditions in healthy male volunteers,"Single dose, crossover study design whereby each participant receives the test formulation of imatinib (1 x 400 mg) on one occasion and the innovator formulation of imatinib (1 x 400 mg) on one occasion with each dose seperated by a two week washout period. The intervention for this trial is the test formulation of imatinib.

No water is allowed for 1 hour prior to dosing until 1 hour after dosing (except for the water consumed with the dose). 

Participants are required not to eat for 10 hours prior to receiving breakfast. Subjects will be provided with a standardised high fat breakfast which they must start eating 30 minutes prior to dosing. Subjects are required to fast for approximately 4 hours after receiving each dose. Bathroom visits will be supervised to ensure no unauthorised water or food intake and for personal safety. Participants will be confined at the Clinical Site for 10 hours prior to dosing to ensure compliance.

Standard meals will be consumed at the Clinical Site with no additional food intake allowed. Alcohol breath testing will be performed upon each participant reporting to the Clinical Site 10 hours prior to dosing.

Pre and post study laboratory tests will be completed to assess the health of participants along with HIV, Hepatitis and drugs of abuse testing. 

Each dose will be taken orally with 240 ml of water at ambient temperature. Medication must be swallowed whole and a mouth check will be conducted to ensure the medication has been taken as directed.",CODE: Treatment: Drugs,"Healthy male
Aged between 18 and 55
Non-smoker
BMI between 18 and 30 inclusive
Normal, healthy individuals as determined by medical history, physical examination, ECG, blood pressure and laboratory tests
Able to provide written informed consent","Any history of recent recurrent attacks of bronchitis, asthma, migraine headaches
Concomitant drug therapy of any kind
Sensitivity to imatinib or any other similar class of medicines, or the excipients of imatinib
History of any conditions that might interfere with the absorption, distribution, metabolism or excretion of the drug
Smoker (anyone who has smoked in the last 6 months)
History of alcohol or drug abuse or dependency
Participation in a drug study within 60 days of the start of the study or donated blood in the 60 days preceding the study.
Volunteers for whom the Clinical Investigator believes, for any reason, that participation would not be an acceptable risk"
ACTRN12616000511437,"A non-blinded, randomised, controlled, superiority trial of StrataXRT 'Registered Trademark' versus 10% Glycerine (Sorbolene) cream for prophylaxis and management of radiation dermatitis in head and neck cancer patients receiving radical radiotherapy with or without concurrent systemic therapy","StrataXRT 'Registered Trademark' is a TGA-approved silicon-based topical preparation, consisting of polydimethylsiloxanes, Siloxanes, and Alkylmethyl Silicones

Patients will be asked to start topical application of their allocated topical preparation on the area of skin being irradiated at the onset of radiotherapy, twice a day until the skin reaction subsides, up to 4 weeks post treatment. The amount of topical preparation dispensed to each patient will be recorded throughout treatment. If moist desquamation occurs, Group one will continue to apply StrataXRT 'Registered Trademark' in addition to Atrauman 'Registered Trademark' dressing and non-sterile combine roll until the wound heals as per standard practice. Patients will be asked to still continue with the allocated topical preparation onto irradiated areas that have no skin breakdown. All participants will be given written instructions on how to apply the allocated treatment.",CODE: Prevention::||::CODE: Treatment: Devices,"Participants in this study will be patients receiving radical radiotherapy +/- concurrent chemotherapy or biotherapy for head and neck cancer at the Royal Brisbane and Women's Hospital
*Age >18 years
*Patients who have a definitive diagnosis of head and neck cancer
*Patients who are receiving radiotherapy (>50 Gy) either as primary treatment or postoperative treatment to their head and neck. ","*Patients who are unable to consent
*Patients with pre-existing skin rash, ulceration or open wound in the treatment area
*Patients with known allergic and other systemic skin diseases even not directly affecting irradiated fields.
*Patients with any known allergic reactions towards any ingredient of either the StrataXRT 'Registered Trademark' or the Sorbolene and failed the patch test.
"
ACTRN12616000516482,Medicinal Cannabis for Anorexia in Advanced Cancer,"Botanical cannabis flower bud (Bedrobinol, Bedrocan) administered via inhalation by vaporiser, taken 3 times a day, 1 hour before meal times.at study site under supervision of trials staff. Each dose level is administered for either one or two days as indicated below in a specific order which is the same for all participants, namely:

50 mg Placebo leaf, 0 mg Delta-9-tetrahydrocannabinol (THC) (one day)
8 mg Bedrobinol (dose 1) mixed with 42 mg placebo leaf, 1.08 mg THC (one day)
16 mg Bedrobinol (dose 2) mixed with 34 mg placebo leaf, 2.16 mg THC (one day)
32 mg Bedrobinol (dose 3) mixed with 18 mg placebo leaf, 4.32 mg THC (two days)
50 mg Bedrobinol (dose 4), 6.75 mg THC (two days)",CODE: Treatment: Drugs,"1) Age 18 years or above;
2) Advanced cancer; 
3) Anorexia for at least 2 weeks (defined as numeric rating scale [0 no appetite  10 best possible appetite] score less than or equal to 4) unresponsive to the optimisation of treatment of causative medical conditions
4) English-speaking (or have an interpreter available);
5) Performance status (Australia-modified Karnofsky Scale score) of 40 or above;
6) Written informed consent.
","1) Hepatic impairment (Childs Stage B)
2) Renal impairment (estimated glomerular filtration rate of <10 mL/min)
3) Cognitive impairment (Montreal Cognitive Assessment (MOCA score<26); 
4) Psychiatric disorders (severe depression or anxiety, personality disorder, history of psychosis, schizophrenia, and/or suicidal ideation); 
5) Acute delirium or delirium within < 30 days; 
6) Unstable cardiovascular disease (uncontrolled hypertension, unstable ischaemic heart disease, unstable congestive cardiac failure); 
7) Impaired pulmonary function which prohibits use of vaporiser; 
8) Prior adverse reaction to botanical cannabis/pharmaceuticals containing cannabinoids; 
9) Pregnant, breastfeeding or unwillingness to use oral contraceptives; 
10) Substance use disorder (ICD-10 criteria (abuse, dependence)) to alcohol, opioids, benzodiazepines or simulants (excluding caffeine, tobacco). 
11) Recent use of cannabis or cannabinoids within < 30 days (based on self-report and urine drug screen at eligibility).
12) Prescribed opioid, benzodiazepine, antidepressant, antipsychotic, corticosteroid, progestin, omega fatty acids and/or dietary supplements, which do not meet the criteria for therapies allowed at eligibility assessment 
13) Participation in a clinical trial of another chemical entity.
14) Conditions causing irreversible or blood transfusion dependent anaemia where the volume of blood sampling required for this study is contraindicated in the opinion of the treating clinician.
"
ACTRN12616000519459,Biomarkers in Pancreatic Cancer,"Potential subjects with pancreatic cancer may be identified at pre-admission or outpatient clinic by a clinician or VCB research coordinator, and if consent is obtained tissue, blood and/or urine sample will be collected. All patients will be treated as per standard of care. The only procedure beyond standard of care is the collection of tissue, blood and/or urine samples. 

Blood and/or urine samples will be collected at the time of other standard-care assessments (such as CEA) to minimise/eliminate the need for additional venipunctures. 

Blood (upto 60 ml) and urine (upto 60 ml) will be collected for research purposes on the following occasions:

1. Before and after surgical removal of pancreatic cancer (if applicable)
2. Before and after any chemotherapy regimen (if applicable)
3. Every 6 months while you are on active surveillance (if applicable)

Archival tissue specimens will be requested for each patient after enrolment. Where possible, current biopsy specimens (fresh tissue) will be collected by either Victorian Cancer Biobank or local pathology laboratories at the time of standard of care procedures,

Follow up will occur until the end of active surveillance, death or 5 years post enrolment, whichever occurs first.",CODE: Not applicable,"1. Male and female
2. At least 18 years of age
3. Patients with histologically or cytologically confirmed pancreatic cancer.
4. Able to provide archival tumour specimen for molecular analysis
5. Accessible for follow up and data collection
6. Able and willing to provide informed consent for any blood and urine collection above standard of care. Able to provide written, voluntary and informed consent for blood and/or urine collection","1. No archival tissue specimen available for molecular analysis
2. Medical or psychiatric condition or occupational responsibilities that may preclude compliance with the tissue collection protocol
3. Females who are pregnant"
ACTRN12616000523404,A study looking at the reproducibility of Magnetic Resonance Imaging (MRI) Simulation Scans for  Radiotherapy Planning,"The intervention involves an additional MRI scan for participants that will only be used for the purpose of the study and not for the radiotherapy treatment planning. Participants would otherwise be attending for an MRI scan for the purposes of planning for their radiotherapy treatment (simulation) but the intervention is an additional scan. The scan will be performed by a suitably qualified allied health professional. The scan will be performed at only one time point and on the same day as their radiotherapy planning MRI or clinical research MRI and the additional scan will take approximately 15 minutes. 
The additional MRI scan will be completed with fewer sequences than the first scan. The sequences used will be one anatomical and one functional imaging sequence (DWI). ",CODE: Not applicable,"- Aged 18 years or older
- Patients undergoing a planning MRI for their radiotherapy treatment or research purposes for prostate, head and neck, central nervous system, rectal, lung or cervix cancer","- Patient refusal
- Contraindication to MRI, such as pacemakers and embodied metal objects, as assessed with the MRI Safety Questionnaire
- Patients with severe claustrophobia or who are unable to lie still
- Inability to give informed consent"
ACTRN12616000533493,Is contrast enhanced spectral  mammography (CESM) useful in the investigation of possible abnormalities found on screening mammograms in women with dense breast tissue and does it  add useful and important information over and above current standard imaging tests?,"On arrival the participants have a cannula inserted into a vein and an injection of iodine based contrast (dose of which is dependent on participants' weight.  This is usually approximately 100mls of Omnipaque 350 mgI/ml).  Following this (approximately 3-5 minutes later) the participant is asked to stand still in front of the x-ray machine whilst images are taken.  The entire study takes approximately 10 minutes from the time of the injection.  A log of the contrast administered to each participant will be kept.  
Contrast Enhanced Spectral Mammography is performed using special equipment that produces high and low energy XRays and is able to logarithmically subtract these images to produce a processed image that shows areas of contrast enhancement within the breast tissue.",CODE: Diagnosis / Prognosis,"1. Written informed consent
2. Women between the ages of 18 and 65 years with dense breast tissue on their mammograms who have been recalled for further assessment of a non calcified lesion detected on screening mammography
3. Women with one or more non-calcified lesions detected on mammography where tomosynthesis is indicated as part of the assessment investigations. 
4. Presence of dense breasts (heterogeneously or extremely dense background parenchymal pattern) on mammography 
","1. Lesions for which a standard work-up procedure would not include Tomosynthesis 
2. Presence of breast prostheses (CESM does not give good images in presence of prostheses)
3. Poor mobility (Participants must be able to stand and be positioned adequately)
4. Pregnancy or lactation
5. Previous reaction to IV iodinated or gadolinium contrast 
6. History of multiple allergies requiring medical treatment
7. History of asthma
8. Women unable to give informed consent due to intellectual impairment
9. Women whose primary language is not English whose level of comprehension is believed to be insufficient for them to be able to give written informed consent without a Health Department approved interpreter
10. Poor mobility / physical limitations that would make CESM study impractical to perform
11. Presence of risk factors for or a known history of impaired renal function (as identified using the IV contrast administration guidelines)
12. Age over 65
13. Diabetic
14. Thyroid disease: Untreated hyperthyroidism or presence of a known hyperfunctioning thyroid nodule. Patients scheduled to undergo diagnostic or therapeutic procedures involving radioisotope scanning of the thyroid (including thyroid cancer treatment) (radioisotope uptake will be prevented for 8 weeks following iodinated contrast administration).
15. History of Myasthenia Gravis
16. Women who are taking Beta Blocking medication
17. Women who are being treated with Interleukin-2
"
ACTRN12616000534482,An evaluation of the role of Magnetic resonance Imaging (MRI) in Mucosal Primary Head and Neck Cancer,"The intervention involved in this study is seven additional MRI scans of approximately 45 minutes in length for each scan. These scans will involve the use of a contrast agent administered by the treating doctor. The MRI scan will be performed by a suitably qualified allied health professional using three MRI sequences. These sequences are all investigational sequences and include DCE, DWI, and R2*. 
DCE MRI is Dynamic contrast-enhanced MRI and gives information about tissue and tumour blood flow.
DWI is Diffusion weighted imaging MRI and gives information about the degree of cellularity or density of cells.
R2* is a type of MRI sequence that gives information about the level of oxygenation within the tumour. 
These scans will be performed before, during and in the follow up stage after radiotherapy treatment over approximately a 4 month period. This includes MRI scans performed one week prior to radiotherapy treatment, 4 times during radiotherapy treatment one week apart (either directly before or after the daily treatment in treatment week 2, 3, 5 and 6) and then week 4 and week 12 after radiotherapy treatment is finished.    
ALL MRI scans performed before, during or after the radiotherapy treatment are only for treatment response prediction. These scans are not being performed for the purpose of diagnostic accuracy.  
For the standard PET-CT and investigational MRI scan performed prior to radiotherapy treatment, week 3 during radiotherapy treatment and at 12 weeks after radiotherapy treatment, these will be performed within a few days of each other at the same hospital but in different departments. All other investigational MRI scans will be performed on the same day as either radiotherapy treatment or the routine clinic visit.   
This study will evaluate the use of different current clinically released and new research MRI sequences, before, during and after radiotherapy treatment in predicting prognosis and tumour response for head and neck cancer.
",CODE: Diagnosis / Prognosis,"- 18 years or older
- Have the ability to give informed consent
- Histologically-proven invasive primary squamous cell carcinoma of mucosal primary head and neck region or patients with tumours strongly suspicious for mucosal primary head and neck cancer due to clinical features AND fine needle aspiration (FNA) cytology assessment
- Primary mucosal head and neck cancer (greater than or equal to T2 and/or greater than or equal to N1) AND no evidence of metastatic disease on staging PET/CT or CT (chest +/- abdomen +/- pelvis) 
- Patient undergoing curative intent primary radiotherapy +/- chemotherapy
","- Contraindication to MRI studies including significant claustrophobia, pacemaker/implantable defibrillator, implanted metals eg. Intraocular clips, and/or known allergic reaction to Gadolinium (Gd)-DTPA
- Previous radiotherapy and/or surgery in the head and neck region 
- Other malignancy (history of malignancy within 5 years)
- Pregnant
"
ACTRN12616000538448,"Goal-directed Therapy for Patients Undergoing Pancreaticoduodenectomy 
","Goal-directed Therapy/Experimental Group 

Patients undergoing pancreaticoduodenectomy in the Goal Directed Therapy (GDT) group (experimental group) will have a Flotrac/Vigileo device TradeMark connected after insertion of the arterial line. The arterial catheters will be connected to the cardiac output device transducer system and haemodynamic data from the Flotrac device will be collected throughout surgery. All transducers will be zeroed to atmospheric pressure at the level of the right atrium.

Patients in the GDT group will be managed by a Stroke Ventricular Volume (SVV) guided protocol to maintain SVV < 20%. This percentage of SVV is frequently used in our institution as a target for patients undergoing this procedure. For the GDT group, if SVV remains above 20% for at least 2 min, then a 250mL bolus of balanced crystalloid (Hartmanns solution or Plasmalyte) or colloid fluid (Albumen) will be given. The SVV will be assessed every 20 seconds via the FloTrac/Vigileo proprietary algorithm. Similar to other GDT studies, the preferred colloid will be albumin secondary to the known effects of improved intravascular repletion and intravascular half life and the theoretical benefit of prolonged stroke volume optimization. In both groups, the administration of blood products will be at the discretion of the anaesthetist, as clinically indicated. There will be no standard protocol for fluid maintenance infusion for either group.

The GDT group will receive standard perioperative Enhanced Recovery After Surgery (ERAS) care and additional haemodynamic monitoring using the FloTrac/Vigileo TradeMark (Edwards Lifesciences, Irvine, CA). 

The anaesthetist will have no influence over any aspect of postoperative care management. All clinicians and nursing staff in charge of postoperative care will be blinded to the allocation of patients. The Flotrac system will be connected to the patient prior to surgical incision and discontinued as soon as the surgery is complete.",CODE: Treatment: Devices,All patients (age > 18 years) undergoing pancreaticoduodenectomy,"1. Age less than 18 years
2. Abnormal pre-operative coagulopathy: INR (international normalised ratio) > 1.5, platelet count < 75 x 109/l 
3. Severe hepatic insufficiency (bilirubin > 30umol/L, ALP (alkaline phosphatase) >300iu/L, ALT (alanine transaminase) > 50iu/L, albumin < 25g/dL, INR > 1.5)
4. Severe renal impairment: Serum Creatinine >250ummol/L
5. American Society of Anaesthesiologists (ASA) physical status IV or V"
ACTRN12616000547448,S.A.F.E. Study: Safety And Feasibility of Exercise for women with breast cancer,"Intervention: The exercise intervention will involve a minimum prescription of 150 minutes of moderate intensity aerobic- and resistance-exercise each week, with the type, intensity and duration per session individualised according to patients interests, fitness, presence of treatment-related side effects and co-morbidities. That is, while each womans exercise program will be individualised, total exercise dose prescribed per week will be at least 150 minutes of moderate-intensity exercise each week. For example, patient #1 may accumulate the required exercise dose by walking 3 days/week for 30 minutes and undertaking resistance-based exercise (using machine weights) for 30 minutes on an additional 2 days/week. Patient #2 may exercise (including walking, stationary cycling and resistance-based exercise using hand weights) twice daily for 10-15 minutes.
In line with exercise promoted within breast cancer rehabilitation models, the intervention will encourage women to exercise in both a supervised and unsupervised setting.
However, given the patient population to be studied, and that safety is a primary outcome of interest, unsupervised sessions will be introduced slowly. Participants will receive a workbook that includes information relating to the exercise program and a logbook to record details about the exercise sessions, as well as presentation of adverse events. All women will perform the supervised sessions at their homes (or another location as specified as convenient for the participant (e.g., local gymnasium) under the supervision of a trained Accredited Exercise Physiologist (AEP).
The study is a randomised wait-list study with a two-group design. The wait-list control group will be provided with a modified intervention; that is, the exercise program will be delivered with less face-to-face contact with the AEP (that is, 5 sessions instead of 20 sessions). However, the dose of exercise prescribed will be identical in both groups (150 minutes of moderate-intensity exercise/ week). Group 1 (immediate-intervention group) will attend 20 sessions with an AEP over the 12 weeks (2 sessions per week for the first 8 weeks and 1 session per week for the final 4 weeks). Group 2 (wait-list control) will attend 5 sessions with an AEP over 12 weeks (the five sessions will be scheduled taking into consideration AEP clinical judgement and participant preference). All participants will also complete unsupervised sessions throughout the 12 weeks under the guidance of the AEP.",CODE: Lifestyle::||::CODE: Treatment: Other,"Women aged 18 years or older (i.e., adults who are able to provide informed consent); reside or work in greater Brisbane (i.e., living within a 60 kilometre radius of the CBD); diagnosed with breast cancer stage II+; treated at one of the referring hospitals. The residence criterion will allow for the Accredited Exercise Physiologist (AEP) to travel to participants homes for intervention sessions. All participants must be undergoing or have completed treatment within the past 24 months, with the exception of hormone therapy. Additionally, women will be assessed on a range of factors to determine their disease burden; eligible participants must currently not meet national physical activity level recommendations (<150 minutes of weekly physical activity) PLUS meet one or more of the following criteria: confirmed clinical diagnosis of: (i) at least one co-morbidity or chronic disease (hypertension, hypercholesterolemia, overweight or obese [body mass index>25], classified as osteopenic or has osteoporosis, type II diabetes), or (ii) at least one chronic breast cancer treatment sequelae (lymphoedema, upper-body morbidity, neuropathy, fatigue, arthralgia). We will also accept self-report of moderate to severe in intensity treatment sequelae, even in the absence of a clinical diagnosis. This self-report criterion is necessary since treatment-sequelae are not routinely screened, detected and recorded by follow-up care (Cheville et al. 2012). Our self-report measures are ones that we have included our prospective cohort studies. ","Exclusion criteria: Currently meeting the current exercise recommendations (i.e., sufficiently active); stage I disease; planning to become pregnant during the study; plans for additional surgery (e.g., reconstructive) during the study period; unable to consent."
ACTRN12616000554460,"Feasibility study of adjuvant chemotherapy in patients with oesophageal cancer who received neoadjuvant chemotherapy and underwent curative surgery
","Cisplatin on day 1  80mg/m2 single day bolus intravenous every 3 weeks
5-Fluorouracil on day 1  1000mg/m2/d continuous infusion over 96 hours intravenous with an infusion pump.
(repeated every 3 weeks for 4 cycles). 
Treatment would commence within 8-10weeks post surgery at the discretion of the treating physician.

The study medications are administered within the hospital chemotherapy suite",CODE: Treatment: Drugs,"The target population is patients with locally advanced adenocarcinoma of oesophagus and OGJ who underwent neoadjuvant CRT and curative intent surgical resection.
Key eligibility criteria include:
* Histologically or cytologically proven adenocarcinoma of oesophagus/OGJ
* Pre-treatment clinical stage T1N1M0 or T2-3N0-3M0
* Age >18 years , No maximum age specified. ECOG performance status of 0-1
* Have had neoadjuvant CRT and curative intent surgery for oesophageal/OGJ    adenocarcinoma
* Neoadjuvant CRT employing CF or carboplatin-paclitaxel chemotherapy is allowed
* No evidence of metastatic disease 6-8 weeks post-surgery
* Adequate recovery from surgical resection (6-8 weeks) and able to commence treatment within 8-10 weeks","1. Evidence of metastatic disease from oesophageal or OGJ adenocarcinoma
2. Previous chemotherapy, radiotherapy or other investigational drug treatment for oesophageal or OGJ adenocarcinoma other than the neoadjuvant CRT
3. History of other malignancies other than non-melanomatous skin cancer or in-situ carcinoma of cervix
4. Severe or uncontrolled cardiovascular disease including acute coronary syndrome within the last 12 months and cardiac failure New York Heart Association (NYHA) III and IV
5. Concurrent illness that may jeopardise the ability of the patient to undergo procedures outlined in this protocol with reasonable safety
6. Presence of any psychological, familial, sociological or geographical condition potentially hampering compliance with the study protocol and follow-up schedule
7. Known hypersensitivity to cisplatin or 5 fluorouracil (5FU), or dihydropyrimidine dehydrogenease (DPD) deficiency
8. Medical or psychiatric conditions that compromise the patients ability to give informed consent
9. Pregnancy, lactation or inadequate contraception"
ACTRN12616000581460,Efficacy of Narrow Band Imaging (NBI) and Computed Tomography (CT) following head and neck cancer treatment.,"The first is a breathing test done in the Lung Function lab. This should take 20 minutes and you may well have had this before. This is to see whether there is any other lung conditions which can make early cancers more likely.

The second is the camera into the throat and lungs ( Bronchoscopy). When we do the camera examination you will be given medication to make you sleepy to make the procedure as comfortable as possible. This is a normal practice with many such tests. This is done as an outpatient day case procedure.   The medication is given through a small needle (cannula) and a numbing medicine is sprayed in the back of the throat. The doctor first of all looks in detail at the throat region with the assistance of the ENT surgeon, then passes the scope down through the vocal cords (voice box) into the lung (air passages). This is a standard procedure. In the first part of the procedure just a standard light will be used and the appearance recorded. Then the blue light will be used to look at the same regions. This blue light has a wavelength of 450 nm- it is not a laser and does not affect the bronchial tubes in any way. Any areas which require a sample to be taken will be noted and samples taken using a biopsy (sample) forcep. This is a standard method for obtaining material to confirm whether there is anything significant which may require treatment. Biopsies of the throat region will be done with the ENT surgeon, and biopsy of the air passages by the Respiratory specialist doing the procedure. One additional biopsy of normal appearing airway lining will be taken for comparison. This is a tiny amount of material (only 1 or 2 millimeters across). This is so we can check that we are not missing significant changes elsewhere in the air passages.In the procedure approximately 10 minutes  of white light is used, then approximately 10 minutes  NBI blue light is used, dependent on the number of lesions and biopsies required. Patients go home the same day.

Biopsies will be followed up at an outpatient clinic the following week. Any treatment which is required will be discussed between yourself and your doctor as is the usual practice following a biopsy. 

You will be therefore be participating in a cross-over study. In a cross-over study the patients have one method of investigation followed by a different method and the two are compared. In this study the first method is the white light and the second method is the blue light. We want to compare which light gives the best results in terms of finding early cancers.

This research project has been designed to make sure the researchers interpret the results in a fair and appropriate way and avoids study doctors or participants jumping to conclusions. This is done by reporting of the biopsy results by the pathologist without knowledge of which colour light was in use when the abnormality prompting the biopsy was found. 

The third procedure is a CT (CAT) scan of the chest. This is also done as a day case It takes only 5 minutes and patients lie on the examination table and the scan is taken as they hold a single deep breath. Results of this will also be discussed at the time of the other appointment as above.

If the camera test and CT are negative for any abnormal areas then just normal follow-up will continue with the ENT department. If there are abnormalities of the camera depending on biopsy there may be a need for a follow-up bronchoscopy in 3-6 months time; if there is a cancer there steps will be initiated immediately to organise treatment for that. Similarly if there are abnormalities on the CT chest these may require follow-up scan in 3-6 months, or a biopsy in those few cases where there is an obvious abnormality requiring immediate attention.

The study will run for two years however only these initial 3 tests are done for the research study. Follow-up tests would only be done in the event of abnormalities as mentioned above. We would follow the results of any additional biopsies or treatments over the two years of the study. Those treatments would be directed by your own doctors who already follow your case up, or the Respiratory specialist who did the camera test.
",CODE: Early detection / Screening::||::CODE: Diagnosis / Prognosis,Patients 3-5 years post completion of curative treatment of Head and Neck Cancer ( either surgery or chemoradiation.),Severe COPD or active coronary artery disease making bronchoscopy unsafe
ACTRN12616000582459,Pre-surgery aerobic and resistance exercise for rectal cancer patients.,"This study was a 16-week exercise intervention programme done prior to surgery with assessments undertaken at three time-points: (1) baseline, (2) immediately pre-surgery and (3) 8-week post-surgery follow-up. This is a 16 weeks exercise programme that commenced prior to the schedule surgery. Patients undertook an exercise programme that consisted of two supervised clinic sessions per week. Each supervised exercise session took approximately 60 minutes to complete. Sessions commenced with a 5-minute warm-up consisting of moderate level of aerobic exercise (~60% heart rate maximum (HRmax)), as well as stretching exercises of the major muscle groups: chest, shoulder, biceps, triceps, quadriceps, hamstrings and calf muscles. This was followed by a resistance-training regime that included a series of six exercises targeting the major muscles of the upper- and lower-body. Upper-limb exercises included chest press, seated row and lat pull-down. Lower-limb exercises were leg extension, leg curl and leg press. All exercises were performed through the full range of motion adhering to correct techniques. To ensure the progressive nature of the training programme, patients were encouraged to work past the repetition maximum (RM) prescribed, with resistance increased by 5  10% for the subsequent set/training sessions if they were able to exceed the number specified. Progression of resistance followed guidelines previously outlined by Galvao and Newton (2005). The training phases were as follows: week 1  2 (two sets 12 RM), week 3  5 (three sets of 10 RM), week 6  8 (three sets of 8 RM), and week 9  10 (four sets of 6 RM). After week 10, the training phases set in week 1  2 were resumed to implement a periodised exercise model. A further 20 minutes of aerobic exercise was undertaken. This included such specific activity as walking or jogging on a treadmill; cycling or rowing on a stationary ergometer; or exercising on a cross training machine depending on each patients preference. The target intensity was 60  80% of the estimated HRmax (220  age in years) measured using heart rate monitors. The design criteria for the exercise intervention programme were to optimise the stimulus to the cardiovascular and neuromuscular systems while maximising compliance and retention. All sessions were conducted with one-on-one supervision by a qualified and accredited exercise physiologist who ensured safety and adherence to correct lifting techniques. Each session concluded with a 5-minute cool-down with stretching activities similar to the warm-up. Patients were provided with a session log in which to record their attendance, exercise weights, repetitions and sets.",CODE: Prevention::||::CODE: Rehabilitation::||::CODE: Lifestyle,The eligibility inclusion criteria included patient scheduled for surgery for localised rectal cancer; and medical clearance to participate in an exercise programme from their general practitioner.,"The exclusion criteria is patient must not have any acute illness or any musculoskeletal, cardiovascular or neurological disorder that could inhibit the ability to walk 400m unassisted and partake in upper- and lower-body exercises."
ACTRN12616000585426,Prostate Cancer Registry collecting treatment data on patients with Castrate-Resistant prostate cancer to investigate the outcomes of these treatments.,"The proposed electronic CRPC Australian database (ePAD) is a multi-site, national prospective cohort study that will collect data regarding baseline patient characteristics, details at diagnosis, pathological characteristics, details regarding local treatment and use of Androgen deprivation therapy, details regarding diagnosis of castration-resistance, prescription of and effectiveness of each systemic therapy and survival. Additionally, factors that influence decision making around systemic treatment selection and the rationale for change of treatments will be captured.
Participants will be followed up until death and if lost to follow up will be censored at date last visit for analysis purposes. All data on participants will be sourced in the clinic or from medical records.
Primarily, data from ePAD will be used to determine the patterns of care amongst Australian oncologists, urologists and radiation oncologists, and allow comparisons across each group, ",CODE: Not applicable,"Patients eligible for enrolment onto ePAD must meet the following criteria:
- Patients of any age and any ECOG performance status
- Diagnosis of CRPC, with or without metastatic disease
- Histological or cytological confirmation of prostate cancer diagnosis and confirmation of castration-resistance
      * Histological confirmation of disease is not required in the case of
         PSA >50 at initial diagnosis
- No previous systemic therapy for metastatic castration resistant disease, or patients must be initiating 1st or 2nd line therapy in the mCRPC setting (i.e. patients who have yet to receive treatment for mCRPC are eligible; additionally, patients who have recently started 1st or 2nd line treatment for mCRPC are also eligible)
      * First generation anti-androgens are allowed prior to enrolment","Exclusion criteria for ePAD include:
- Patients who have received more than two lines of therapy already
- Patients who are not eligible for treatment
(chemotherapy or targeted therapies) subsidized by the PBS"
ACTRN12616000615482,Patient Reported Outcome Measures for Personalised Treatment and Care Phase 2 Project - an eHealth platform in cancer patient care,"Completion of patient reported outcome (PRO) measures (PROMPT-Care survey) by patients as well as providing feedback via an evaluation survey and interviews on the acceptability of the eHealth system and usefulness of the self-management resources accessed. The interventions include;
a) The patients will complete the Distress Thermometer and Checklist, Edmonton Symptom Assessment Scale (ESAS) and Supportive Care Needs Survey  9 items. Based on the patients results, they will be emailed links to self-management websites. These websites consist of publically available resources from reputable national (e.g. Cancer Council, Cancer Institute NSW) and international (e.g. McMillian) sources. Staff will receive a report summarising the results of the patients PROMPT-Care survey with recommendations for action, as developed by the studys Clinical Advisory Group. 
b) The PROMPT-Care survey measures items over 4 domains: Physical wellbeing (e.g. fatigue, pain, mouth sores), emotional wellbeing (e.g. anxiety, depression, loss of interest in activities), social and family wellbeing (e.g. support from family and friends, problems with partner) and practical support (e.g. transport, housing, being informed about test results). 
c) The PROMPT-Care system is accessible by patients (to input PROMPT-Care survey results and to access self-management resources), staff at the cancer treatment centre (e.g. oncologists, nurse care coordinators, allied health staff), and selected members of the research team who have approval to access patients medical records using the MOSAIQ database. Results of patient surveys are integrated in to Mosaiq in which the clinician and other care providers can access report summaries to review patient reported outcomes as part of routine care. 
d) Frequency of use  patients on active treatment or in follow up will complete the PROMPT-Care survey every 4 weeks (includes all previously mentioned assessments), depending on the schedule of their review appointments. 
e) Duration of intervention = 6 months
f) Patients attending clinic will be asked to complete the PROMPT-Care survey in the waiting area, using an electronic tablet device. Patients in long-term follow-up will typically complete their PROMPT-Care survey from home, however should they be attending clinic for review they will be asked to complete that monthly survey while in the waiting area. 
g) Strategies to monitor adherence: Patients who do not complete their PROMPT-Care surveys from home will receive reminder emails. We will also be conducting evaluation interviews with participants to get their views of the system and to discuss issues around their adherence to the project. 
h) Participants will be asked to fill out an evaluation survey and to attend a single interview to assess their views on the eHealth platform, which will last approximately 20 minutes. Oncology hospital staff will be asked to attend a single interview to assess their views on the eHealth platform, which will last approximately 20 minutes.
i) Participants who are on-treatment at the commencement of the study and transition to follow-up care during the study will receive a Treatment Summary and Survivorship Care Plan. This care plan will be circulated to their nominated GP. 
",CODE: Other interventions,"- Are aged 18 years or over
- Are cognitively able to provide informed consent and understand the surveys
- Are either currently receiving cancer care (including follow-up care), or have recently been diagnosed with cancer and scheduled to commence cancer treatment at one of the participating sites
- Have sufficient English skills to complete the survey in English
 - Have sufficient computer literacy
- Staff - current staff working in the oncology department at the recruitment hospitals.","- Children and culturally and linguistically diverse (CALD) populations
- Staff not working in Oncology"
